frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
1,0.0333,8,18,1,1,661.5,515.0,661,515,2,1,2,0.25,30.0,30.0,18.288,16.847,1.076,17.18,0.9212,17
1,0.0333,9,259,1,0,1007.021,517.453,1001,514,14,9,95,1.0,79.274,128.0,165.127,52.174,0.635,19.317,0.316,260
1,0.0333,10,158,1,0,955.98,522.6,951,516,14,20,150,1.0,78.587,171.0,60.61,4.872,0.379,3.947,0.0804,160
1,0.0333,12,28,1,0,650.607,542.938,636,528,26,24,112,0.3083,32.67,37.0,27.507,5.425,1.019,7.066,0.1972,27
1,0.0333,13,90,1,1,841.463,545.821,836,542,11,8,67,1.0,92.94,183.0,548.85,173.581,6.031,30.89,0.3163,91
1,0.0333,14,4,1,0,632.4,552.2,631,552,4,2,5,0.2583,30.6,31.0,0.0,0.0,0.0,0.0,0.0,3
1,0.0333,15,4,1,0,626.0,556.625,624,556,6,3,8,0.2667,30.25,32.0,1.353,1.353,0.451,1.353,1.0,3
1,0.0333,16,4,1,0,609.5,564.0,609,563,2,3,4,0.2583,30.25,31.0,0.0,0.0,0.0,0.0,0.0,3
1,0.0333,17,4,1,0,613.5,563.0,612,562,4,3,10,0.2667,30.6,32.0,0.167,0.167,0.056,0.167,1.0,3
1,0.0333,18,13,1,1,587.75,573.705,567,564,41,21,176,0.3083,32.75,37.0,92.168,89.815,5.12,25.741,0.9745,18
1,0.0333,19,27,1,0,1397.215,580.384,1375,578,49,6,172,0.3417,34.459,41.0,21.768,5.896,0.837,5.091,0.2708,26
1,0.0333,20,101,1,0,1173.929,589.286,1170,589,10,2,14,0.2667,30.643,32.0,839.973,106.906,7.924,77.941,0.1273,106
1,0.0333,21,6,1,1,1242.667,586.667,1242,586,2,2,3,0.25,30.0,30.0,67.279,66.29,13.456,61.211,0.9853,5
1,0.0333,22,19,1,1,539.194,601.191,518,590,42,23,278,0.4167,38.212,50.0,222.868,93.296,8.254,73.143,0.4186,27
1,0.0333,23,74,1,1,842.244,593.269,837,589,11,9,78,0.85,58.372,102.0,247.261,196.467,3.091,42.636,0.7946,80
1,0.0333,24,6,1,0,510.364,612.273,508,611,6,3,11,0.2583,30.182,31.0,0.666,0.666,0.133,0.666,1.0,5
1,0.0333,25,16,1,0,471.538,613.692,468,613,9,3,13,0.2667,30.615,32.0,7.808,1.551,0.521,3.078,0.1986,15
1,0.0333,26,155,1,0,492.5,613.0,492,613,2,1,2,0.25,30.0,30.0,346.248,50.962,2.086,18.419,0.1472,166
1,0.0333,27,27,1,1,443.0,615.0,442,615,3,1,3,0.25,30.0,30.0,54.787,51.539,2.029,26.261,0.9407,27
1,0.0333,28,21,1,0,175.0,621.0,169,621,13,1,13,0.2667,31.462,32.0,11.138,3.0,0.53,4.148,0.2693,21
1,0.0333,29,4,1,0,93.0,623.0,92,623,3,1,3,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,3
1,0.0333,31,17,1,0,102.5,623.0,102,623,2,1,2,0.25,30.0,30.0,36.065,11.0,2.121,23.521,0.305,17
1,0.0333,32,80,1,1,841.333,631.5,840,630,4,4,12,0.3333,34.083,40.0,796.279,332.509,8.947,35.145,0.4176,89
1,0.0333,33,1,1,0,1425.0,578.0,1423,578,5,1,5,0.25,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0
1,0.0333,34,7,1,1,1372.667,581.667,1372,581,2,2,3,0.2583,30.333,31.0,21.214,21.209,2.357,4.586,0.9997,9
1,0.0333,35,3,1,0,564.2,585.267,561,583,6,5,15,0.2833,31.133,34.0,0.72,0.624,0.36,0.601,0.866,2
1,0.0333,36,10,1,0,1360.5,582.0,1360,582,2,1,2,0.2583,30.5,31.0,3.33,0.92,0.37,1.512,0.2762,9
1,0.0333,37,5,1,0,1365.0,582.0,1363,582,5,1,5,0.25,30.0,30.0,6.584,6.576,1.646,5.209,0.9989,4
1,0.0333,38,30,1,0,307.333,617.593,300,617,15,3,27,0.2667,30.556,32.0,40.426,3.465,1.304,9.197,0.0857,31
2,0.0667,1,507,1,0,944.805,317.323,935,310,22,16,195,1.0,96.487,190.0,136.218,15.329,0.269,4.253,0.1125,506
2,0.0667,2,507,1,0,996.967,318.787,990,314,16,11,122,1.0,126.057,224.0,103.209,12.365,0.204,2.49,0.1198,506
2,0.0667,3,63,1,1,1309.47,346.978,1297,341,28,14,230,1.0,109.783,235.0,869.389,328.438,12.976,71.865,0.3778,67
2,0.0667,4,14,1,0,1105.75,415.25,1105,415,3,2,4,0.2917,32.75,35.0,2.513,2.226,0.193,1.572,0.8857,13
2,0.0667,5,52,1,1,705.53,451.072,700,448,14,7,83,1.0,88.277,210.0,217.553,181.251,3.956,102.165,0.8331,55
2,0.0667,6,13,1,1,707.643,494.619,704,492,8,6,42,0.875,59.667,105.0,138.618,115.966,8.664,24.701,0.8366,16
2,0.0667,7,64,1,1,834.222,502.222,832,501,6,4,18,0.4167,38.611,50.0,259.16,191.855,4.114,39.761,0.7403,63
2,0.0667,8,18,1,1,661.5,515.5,661,515,2,2,4,0.25,30.0,30.0,18.288,16.847,1.076,17.18,0.9212,17
2,0.0667,9,259,1,0,1007.021,517.453,1001,514,14,9,95,1.0,79.4,129.0,165.127,52.174,0.635,19.317,0.316,260
2,0.0667,10,158,1,0,955.98,522.6,951,516,14,20,150,1.0,78.553,171.0,60.61,4.872,0.379,3.947,0.0804,160
2,0.0667,12,28,1,0,650.607,542.938,636,528,26,24,112,0.3083,32.643,37.0,27.507,5.425,1.019,7.066,0.1972,27
2,0.0667,13,90,1,1,841.463,545.821,836,542,11,8,67,1.0,92.97,184.0,548.85,173.581,6.031,30.89,0.3163,91
2,0.0667,14,4,1,0,632.4,552.2,631,552,4,2,5,0.2583,30.6,31.0,0.0,0.0,0.0,0.0,0.0,3
2,0.0667,15,4,1,0,626.0,556.625,624,556,6,3,8,0.2667,30.25,32.0,1.353,1.353,0.451,1.353,1.0,3
2,0.0667,16,4,1,0,609.5,564.0,609,563,2,3,4,0.2583,30.25,31.0,0.0,0.0,0.0,0.0,0.0,3
2,0.0667,17,4,1,0,613.5,563.0,612,562,4,3,10,0.2667,30.8,32.0,0.167,0.167,0.056,0.167,1.0,3
2,0.0667,18,13,1,1,588.456,573.363,567,563,41,22,182,0.3083,32.758,37.0,92.168,89.815,5.12,25.741,0.9745,18
2,0.0667,19,27,1,0,1398.723,580.246,1372,578,56,6,191,0.3417,34.099,41.0,21.768,5.896,0.837,5.091,0.2708,26
2,0.0667,20,101,1,0,1173.929,589.286,1170,589,10,2,14,0.2667,30.643,32.0,839.973,106.906,7.924,77.941,0.1273,106
2,0.0667,21,6,1,1,1242.667,586.667,1242,586,2,2,3,0.25,30.0,30.0,67.279,66.29,13.456,61.211,0.9853,5
2,0.0667,22,19,1,1,539.075,601.268,518,590,42,23,280,0.4083,38.05,49.0,222.868,93.296,8.254,73.143,0.4186,27
2,0.0667,23,74,1,1,842.244,593.269,837,589,11,9,78,0.8417,58.179,101.0,247.261,196.467,3.091,42.636,0.7946,80
