frame,time_s,track_id,track_lifetime_frames,confirmed,valid_flying_track,cx,cy,bbox_x,bbox_y,bbox_w,bbox_h,area_px,score,mean_diff,max_diff,track_path_length_px,track_net_displacement_px,track_mean_speed_px_frame,track_max_step_speed_px_frame,track_directionality,track_frame_span
1,0.0333,22,4,1,0,265.25,619.75,264,619,3,2,4,0.25,18.0,18.0,0.0,0.0,0.0,0.0,0.0,3
1,0.0333,26,51,1,1,842.031,632.094,839,630,7,6,32,0.5556,26.594,40.0,316.496,146.361,5.972,23.629,0.4624,53
1,0.0333,27,102,1,1,1335.947,823.947,1333,822,7,5,19,0.3333,21.684,24.0,1011.036,423.75,9.361,61.32,0.4191,108
1,0.0333,28,9,1,0,1100.429,421.286,1098,421,5,2,7,0.2639,18.429,19.0,1.099,1.099,0.1,0.275,1.0,11
1,0.0333,29,16,1,0,869.5,429.0,868,428,4,3,4,0.2778,18.5,20.0,6.592,0.601,0.439,0.601,0.0912,15
1,0.0333,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
1,0.0333,31,2,0,0,812.5,441.0,812,441,2,1,2,0.25,18.0,18.0,81.231,81.231,40.616,40.616,1.0,2
1,0.0333,32,22,1,0,693.0,451.4,691,451,5,2,5,0.25,18.0,18.0,11.479,1.431,0.522,5.675,0.1247,22
2,0.0667,1,153,1,0,943.293,317.043,931,310,26,16,276,1.0,74.862,190.0,28.982,7.891,0.186,2.386,0.2723,156
2,0.0667,2,153,1,0,996.878,318.612,990,313,16,12,139,1.0,113.273,224.0,26.616,5.853,0.171,1.583,0.2199,156
2,0.0667,3,47,1,1,1310.215,346.703,1296,340,31,15,279,1.0,94.462,235.0,832.205,564.662,14.348,71.812,0.6785,58
2,0.0667,4,96,1,1,1105.286,415.878,1100,413,13,7,49,0.4861,23.041,35.0,430.294,375.167,4.529,82.138,0.8719,95
2,0.0667,6,17,1,0,875.923,428.385,874,427,6,5,13,0.2778,18.538,20.0,3.466,2.998,0.217,1.989,0.8649,16
2,0.0667,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
2,0.0667,8,36,1,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0,60.172,54.539,1.337,11.505,0.9064,45
2,0.0667,10,65,1,1,807.152,441.212,800,439,13,5,33,0.2778,18.788,20.0,123.379,76.816,1.645,21.869,0.6226,75
2,0.0667,11,4,1,0,712.641,449.105,699,444,36,12,220,1.0,46.677,210.0,9.327,9.301,3.109,7.243,0.9973,3
2,0.0667,12,4,1,0,674.3,453.033,665,449,22,10,90,0.3611,21.156,26.0,0.566,0.265,0.189,0.281,0.4675,3
2,0.0667,13,23,1,1,707.577,494.769,704,492,8,7,52,1.0,52.404,105.0,70.073,64.313,2.803,24.164,0.9178,25
2,0.0667,14,46,1,1,834.29,502.097,831,500,7,6,31,0.6944,31.806,50.0,167.138,154.666,3.714,22.444,0.9254,45
2,0.0667,16,153,1,0,1007.119,517.153,1000,513,16,11,118,1.0,68.28,129.0,69.075,5.386,0.443,3.852,0.078,156
2,0.0667,17,89,1,1,955.928,522.278,950,513,16,23,194,1.0,65.892,171.0,665.962,176.725,7.483,37.876,0.2654,89
2,0.0667,19,65,1,0,841.477,546.105,836,542,12,9,86,1.0,77.477,184.0,357.721,26.169,5.339,24.629,0.0732,67
2,0.0667,20,6,1,1,842.134,593.33,836,588,13,11,112,1.0,47.33,101.0,22.527,22.22,4.505,13.805,0.9864,5
2,0.0667,22,4,1,0,265.25,619.75,264,619,3,2,4,0.25,18.0,18.0,0.0,0.0,0.0,0.0,0.0,3
2,0.0667,26,51,1,1,842.031,632.094,839,630,7,6,32,0.5556,26.656,40.0,316.496,146.361,5.972,23.629,0.4624,53
2,0.0667,27,102,1,1,1336.1,823.9,1333,822,7,5,20,0.3333,21.6,24.0,1011.036,423.75,9.361,61.32,0.4191,108
2,0.0667,28,9,1,0,1100.429,421.286,1098,421,5,2,7,0.2639,18.429,19.0,1.099,1.099,0.1,0.275,1.0,11
2,0.0667,29,16,1,0,869.8,429.0,868,428,4,3,5,0.2639,18.4,19.0,6.592,0.601,0.439,0.601,0.0912,15
2,0.0667,30,29,1,0,814.0,436.0,813,436,3,1,3,0.2639,18.333,19.0,63.499,7.649,2.048,24.083,0.1205,31
3,0.1,1,153,1,0,943.259,317.086,931,309,26,17,278,1.0,74.629,191.0,28.982,7.891,0.186,2.386,0.2723,156
3,0.1,2,153,1,0,996.829,318.6,990,313,16,12,140,1.0,112.807,224.0,26.616,5.853,0.171,1.583,0.2199,156
3,0.1,3,47,1,1,1310.187,346.727,1296,340,31,15,278,1.0,94.849,235.0,832.205,564.662,14.348,71.812,0.6785,58
3,0.1,4,96,1,1,1104.77,416.639,1098,413,15,10,61,0.4861,22.279,35.0,430.294,375.167,4.529,82.138,0.8719,95
3,0.1,6,17,1,0,876.118,428.529,874,427,6,5,17,0.2778,18.529,20.0,3.466,2.998,0.217,1.989,0.8649,16
3,0.1,7,15,1,0,868.5,433.0,868,433,2,1,2,0.25,18.0,18.0,17.281,11.481,1.08,4.768,0.6643,16
3,0.1,8,36,1,1,781.963,441.407,777,440,10,4,27,0.2639,18.407,19.0,60.172,54.539,1.337,11.505,0.9064,45
